Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,ciliate_predator,Day,Lat_Lon,Pseudomonas_evolution,replicate,collected_by,Isolate,sample_type,strain
SRR18475217,RNA-Seq,302,9748258906,PRJNA818876,SAMN26937408,Metagenome or environmental,2037407758,UNIVERSITY OF TURKU,2018,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX14607458,Finland,Europe,Finland: Helsinki,Illumina NovaSeq 6000,Laboratory culture,04CYB,PAIRED,cDNA,METATRANSCRIPTOMIC,synthetic metagenome,ILLUMINA,2022-03-25T00:00:00Z,04CYB,SRP365411,yes,4,60.2251446 N 25.011279 E,coevolved,b,,,,
SRR18475218,RNA-Seq,302,10042948392,PRJNA818876,SAMN26937407,Metagenome or environmental,2117094409,UNIVERSITY OF TURKU,2018,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX14607457,Finland,Europe,Finland: Helsinki,Illumina NovaSeq 6000,Laboratory culture,04CYA,PAIRED,cDNA,METATRANSCRIPTOMIC,synthetic metagenome,ILLUMINA,2022-03-25T00:00:00Z,04CYA,SRP365411,yes,4,60.2251446 N 25.011279 E,coevolved,a,,,,
SRR18475219,RNA-Seq,302,17169286786,PRJNA818876,SAMN26937406,Metagenome or environmental,3166552090,UNIVERSITY OF TURKU,2018,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX14607456,Finland,Europe,Finland: Helsinki,Illumina NovaSeq 6000,Laboratory culture,04CNB,PAIRED,cDNA,METATRANSCRIPTOMIC,synthetic metagenome,ILLUMINA,2022-03-25T00:00:00Z,04CNB,SRP365411,no,4,60.2251446 N 25.011279 E,coevolved,b,,,,
SRR18475220,RNA-Seq,302,41811544244,PRJNA818876,SAMN26937405,Metagenome or environmental,7198799718,UNIVERSITY OF TURKU,2018,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX14607455,Finland,Europe,Finland: Helsinki,Illumina NovaSeq 6000,Laboratory culture,04CNA,PAIRED,cDNA,METATRANSCRIPTOMIC,synthetic metagenome,ILLUMINA,2022-03-25T00:00:00Z,04CNA,SRP365411,no,4,60.2251446 N 25.011279 E,coevolved,a,,,,
SRR18475221,RNA-Seq,302,281785630,PRJNA818876,SAMN26937404,Metagenome or environmental,84204111,UNIVERSITY OF TURKU,2018,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX14607454,Finland,Europe,Finland: Helsinki,Illumina NovaSeq 6000,Laboratory culture,04AYC,PAIRED,cDNA,METATRANSCRIPTOMIC,synthetic metagenome,ILLUMINA,2022-03-25T00:00:00Z,04AYC,SRP365411,yes,4,60.2251446 N 25.011279 E,ancestral,c,,,,
SRR18475222,RNA-Seq,302,19849764192,PRJNA818876,SAMN26937403,Metagenome or environmental,3481438895,UNIVERSITY OF TURKU,2018,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX14607453,Finland,Europe,Finland: Helsinki,Illumina NovaSeq 6000,Laboratory culture,04AYB,PAIRED,cDNA,METATRANSCRIPTOMIC,synthetic metagenome,ILLUMINA,2022-03-25T00:00:00Z,04AYB,SRP365411,yes,4,60.2251446 N 25.011279 E,ancestral,b,,,,
SRR18475223,RNA-Seq,302,12661431238,PRJNA818876,SAMN26937402,Metagenome or environmental,2169622331,UNIVERSITY OF TURKU,2018,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX14607452,Finland,Europe,Finland: Helsinki,Illumina NovaSeq 6000,Laboratory culture,04AYA,PAIRED,cDNA,METATRANSCRIPTOMIC,synthetic metagenome,ILLUMINA,2022-03-25T00:00:00Z,04AYA,SRP365411,yes,4,60.2251446 N 25.011279 E,ancestral,a,,,,
SRR18475224,RNA-Seq,302,19166286248,PRJNA818876,SAMN26937421,Metagenome or environmental,3464280163,UNIVERSITY OF TURKU,2018,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX14607451,Finland,Europe,Finland: Helsinki,Illumina NovaSeq 6000,Laboratory culture,45CYC,PAIRED,cDNA,METATRANSCRIPTOMIC,synthetic metagenome,ILLUMINA,2022-03-25T00:00:00Z,45CYC,SRP365411,yes,45,60.2251446 N 25.011279 E,coevolved,c,,,,
SRR18475225,RNA-Seq,302,25571570952,PRJNA818876,SAMN26937420,Metagenome or environmental,4694687412,UNIVERSITY OF TURKU,2018,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX14607450,Finland,Europe,Finland: Helsinki,Illumina NovaSeq 6000,Laboratory culture,45CYB,PAIRED,cDNA,METATRANSCRIPTOMIC,synthetic metagenome,ILLUMINA,2022-03-25T00:00:00Z,45CYB,SRP365411,yes,45,60.2251446 N 25.011279 E,coevolved,b,,,,
SRR18475226,RNA-Seq,302,28286399952,PRJNA818876,SAMN26937419,Metagenome or environmental,4905940906,UNIVERSITY OF TURKU,2018,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX14607449,Finland,Europe,Finland: Helsinki,Illumina NovaSeq 6000,Laboratory culture,45CYA,PAIRED,cDNA,METATRANSCRIPTOMIC,synthetic metagenome,ILLUMINA,2022-03-25T00:00:00Z,45CYA,SRP365411,yes,45,60.2251446 N 25.011279 E,coevolved,a,,,,
